city_slug,window_months,post_cutoff,n_obs,n_unique_listings,mean_available,mean_price_usd,mean_log_price,mean_host_response_rate,mean_host_acceptance_rate
austin,1,0,477958,15418,0.44366450608630886,380.7075517095644,5.246870720901591,0.9722217140766486,0.8840885590393595
austin,1,1,477958,15418,0.4413651408701183,380.6840977659125,5.2468591002522285,0.9722217140766486,0.8840885590393595
austin,2,0,955916,15418,0.46660899074814105,380.7073205177024,5.246870347622135,0.972221714076649,0.8840885590393598
austin,2,1,955916,15418,0.41191485444327747,380.68503090229683,5.246857060112115,0.972221714076649,0.8840885590393598
austin,3,0,1418456,15418,0.4891276148149819,380.70717879158747,5.2468700897043785,0.9722217140766486,0.8840885590393603
austin,3,1,1418456,15418,0.39471791863829403,380.6521971777764,5.246840223580569,0.9722217140766484,0.8840885590393598
boston,1,0,137206,4426,0.6176770695159104,249.61138725711703,5.164466631439678,0.9792352474199524,0.9037610956124779
boston,1,1,137206,4426,0.5925469731644388,249.61138725711703,5.164466631439678,0.9792352474199524,0.9037610956124779
boston,2,0,274412,4426,0.631874699357171,249.61138725711703,5.164466631439679,0.9792352474199524,0.9037610956124781
boston,2,1,274412,4426,0.5770848213634973,249.61138725711703,5.164466631439679,0.9792352474199527,0.9037610956124779
boston,3,0,407192,4426,0.636792962533645,249.61138725711703,5.16446663143968,0.9792352474199526,0.903761095612478
boston,3,1,407192,4426,0.5524813847030393,249.61138725711703,5.164466631439677,0.9792352474199524,0.9037610956124776
chicago,1,0,270971,8741,0.6471504330721738,542.7876488627934,5.148356567004204,0.9727839979871684,0.8996163127413127
chicago,1,1,270971,8741,0.619656716032343,542.7671891087977,5.148349669435227,0.9727839979871684,0.8996163127413127
chicago,2,0,541942,8741,0.6650490273866945,542.6935686844718,5.148336458026441,0.9727839979871683,0.8996163127413129
chicago,2,1,541942,8741,0.6121134733975222,542.774861516546,5.148352256023592,0.9727839979871683,0.8996163127413129
chicago,3,0,804172,8741,0.6616743681699935,542.661333645041,5.148329375936054,0.9727839979871682,0.8996163127413126
chicago,3,1,804172,8741,0.5959919022298712,542.7827007157673,5.148354898842142,0.9727839979871682,0.8996163127413126
los-angeles,1,0,1395248,45008,0.6206079492678004,383.4243042885566,5.1575710616262915,0.9552762454873645,0.8608965966731845
los-angeles,1,1,1395248,45008,0.5313901184592273,383.11079944927354,5.157409116091362,0.9552762454873648,0.8608965966731843
los-angeles,2,0,2790496,45008,0.6135396718002821,383.48623485573887,5.157591057860692,0.9552762454873647,0.8608965966731845
los-angeles,2,1,2790496,45008,0.5335449325137896,383.0314866676032,5.157392120781074,0.9552762454873643,0.8608965966731846
los-angeles,3,0,4140736,45008,0.6090236131934033,383.44829632219967,5.157573710519153,0.955276245487365,0.8608965966731854
los-angeles,3,1,4140736,45008,0.5305073783984297,383.0339692557071,5.15739159864031,0.9552762454873646,0.8608965966731844
new-york-city,1,0,1160268,37428,0.4937393774541744,381.7772777065299,4.98139704066334,0.930432208963638,0.7658553962529687
new-york-city,1,1,1160268,37428,0.4443852627151658,381.7772777065299,4.981397040663339,0.9304322089636379,0.7658553962529687
new-york-city,2,0,2320536,37428,0.4815335767253772,381.7772777065299,4.9813970406633405,0.9304322089636379,0.7658553962529686
new-york-city,2,1,2320536,37428,0.44638221514339793,381.7772777065299,4.9813970406633405,0.9304322089636374,0.7658553962529687
new-york-city,3,0,3443376,37428,0.47151719707635764,381.7772777065299,4.981397040663341,0.9304322089636383,0.7658553962529685
new-york-city,3,1,3443376,37428,0.4469413157320025,381.7772777065299,4.981397040663337,0.930432208963639,0.7658553962529683
san-francisco,1,0,242327,7817,0.561629533646684,468.93800051170524,5.224358591724971,0.9645845967252881,0.8445681521265785
san-francisco,1,1,242327,7817,0.4772641925992564,468.93800051170524,5.224358591724971,0.9645845967252881,0.8445681521265785
san-francisco,2,0,484654,7817,0.5549546686914789,468.93800051170524,5.22435859172497,0.9645845967252882,0.8445681521265783
san-francisco,2,1,484654,7817,0.4809658024074907,468.93800051170524,5.22435859172497,0.9645845967252882,0.8445681521265783
san-francisco,3,0,719164,7817,0.5494490825458449,468.93800051170524,5.224358591724972,0.964584596725288,0.8445681521265787
san-francisco,3,1,719164,7817,0.48091951210016076,468.93800051170524,5.224358591724972,0.964584596725288,0.8445681521265787
seattle,1,0,209622,6762,0.5680128994094131,235.11360839988168,5.11110063525136,0.9824087342204028,0.9137329743427305
seattle,1,1,209622,6762,0.5312324088120521,235.11360839988168,5.11110063525136,0.9824087342204028,0.9137329743427305
seattle,2,0,419244,6762,0.5751638663880699,235.11360839988168,5.111100635251358,0.9824087342204029,0.9137329743427303
seattle,2,1,419244,6762,0.5304094990029673,235.11360839988168,5.111100635251358,0.9824087342204029,0.9137329743427303
seattle,3,0,622104,6762,0.5734716381826833,235.1136083998817,5.1111006352513595,0.9824087342204021,0.9137329743427307
seattle,3,1,622104,6762,0.5108454534933066,235.1136083998817,5.1111006352513595,0.9824087342204021,0.9137329743427307
washington-dc,1,0,188387,6077,0.5693439568547723,401.61049860128355,5.069136033414133,0.9609613672779063,0.9033138435081687
washington-dc,1,1,188387,6077,0.5714088551757818,401.61049860128355,5.069136033414133,0.9609613672779063,0.9033138435081687
washington-dc,2,0,376774,6077,0.6075100723510646,401.61049860128355,5.069136033414133,0.9609613672779063,0.9033138435081687
washington-dc,2,1,376774,6077,0.5536793940133873,401.61049860128355,5.069136033414133,0.9609613672779063,0.9033138435081687
washington-dc,3,0,559084,6077,0.6190894391540448,401.61049860128355,5.069136033414132,0.9609613672779063,0.9033138435081688
washington-dc,3,1,559084,6077,0.5294428028704095,401.61049860128355,5.069136033414132,0.9609613672779063,0.9033138435081688
